G1,G2,studytime,failures,absences,schoolsup,famsup,paid,internet,higher,health,goout,G3,Risk
0,11,2,0,4,1,0,0,0,1,3,4,11,0
9,11,2,0,2,0,1,0,1,1,3,3,11,0
12,13,2,0,6,1,0,0,1,1,3,2,12,0
14,14,3,0,0,0,1,0,1,1,5,2,14,0
11,13,2,0,0,0,1,0,0,1,5,2,13,0
12,12,2,0,6,0,1,0,1,1,5,2,13,0
13,12,2,0,0,0,0,0,1,1,3,4,13,0
10,13,2,0,2,1,1,0,0,1,1,4,13,0
15,16,2,0,0,0,1,0,1,1,1,2,17,0
12,12,2,0,0,0,1,0,1,1,5,1,13,0
14,14,2,0,2,0,1,0,1,1,2,3,14,0
10,12,3,0,0,0,1,0,1,1,4,2,13,0
12,13,1,0,0,0,1,0,1,1,5,3,12,0
12,12,2,0,0,0,1,0,1,1,3,3,13,0
14,14,3,0,0,0,1,0,1,1,3,2,15,0
17,17,1,0,6,0,1,0,1,1,2,4,17,0
13,13,3,0,10,0,1,0,1,1,2,3,14,0
13,14,2,0,2,1,1,0,0,1,4,2,14,0
8,8,1,3,2,0,1,1,1,1,5,5,7,1
12,12,1,0,6,0,0,0,1,1,5,3,12,0
12,13,2,0,0,0,0,0,1,1,1,1,14,0
11,12,1,0,0,0,1,1,1,1,5,2,12,0
12,13,2,0,0,0,0,0,1,1,5,1,14,0
10,10,2,0,2,0,1,0,1,1,5,4,10,0
10,11,3,0,2,1,1,0,1,1,5,2,10,0
10,11,1,0,6,0,1,0,1,1,5,2,12,0
11,12,1,0,8,0,1,0,1,1,5,2,12,0
11,11,1,0,0,0,0,0,1,1,1,4,11,0
12,12,2,0,2,1,1,1,1,1,5,3,13,0
12,11,2,0,4,0,1,1,1,1,5,5,12,0
10,11,2,0,0,0,1,1,1,1,5,2,11,0
15,15,2,0,2,0,1,0,1,1,5,1,15,0
13,14,2,0,0,0,1,0,1,1,5,2,15,0
13,12,2,0,0,0,0,0,1,1,2,2,12,0
12,12,1,0,4,0,1,0,1,1,5,3,12,0
11,11,1,0,4,0,1,0,0,1,5,1,11,0
14,14,3,0,0,0,1,0,1,1,4,3,14,0
13,13,3,0,4,0,1,0,1,1,5,3,13,0
11,12,3,0,2,1,1,0,1,1,5,2,12,0
14,13,1,0,8,1,1,0,0,1,2,1,12,0
11,11,2,0,16,0,1,0,1,1,3,3,10,0
10,11,1,0,8,0,1,0,1,1,5,3,11,0
14,15,2,0,0,0,1,0,1,1,5,3,15,0
9,10,1,0,0,1,1,0,1,1,1,1,10,0
10,11,2,1,14,1,0,0,1,1,5,3,11,0
10,11,2,0,4,1,1,1,1,1,5,2,11,0
13,12,2,0,6,0,1,0,1,1,3,5,13,0
17,17,4,0,2,0,0,0,1,1,2,2,17,0
11,12,2,0,4,0,1,0,0,1,5,3,13,0
13,12,2,0,2,1,1,0,1,1,3,4,12,0
